"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2023","39,309","39,000","39,307","38,896","0.48K","1.60%"
"04/26/2023","38,690","38,708","38,708","38,575","0.06K","-0.54%"
"04/25/2023","38,900","38,565","39,000","38,565","1.92K","0.69%"
"04/24/2023","38,632","38,353","38,969","38,353","0.25K","0.47%"
"04/21/2023","38,451","38,336","38,678","38,336","0.04K","-0.05%"
"04/20/2023","38,469","38,467","38,467","38,254","0.31K","-0.68%"
"04/19/2023","38,734","39,112","39,236","37,501","0.76K","-0.76%"
"04/18/2023","39,031","38,847","39,313","38,834","0.57K","0.93%"
"04/17/2023","38,673","38,770","38,979","38,611","0.75K","0.04%"
"04/14/2023","38,659","38,720","38,858","38,465","0.20K","-0.03%"
"04/13/2023","38,670","38,944","38,944","38,112","1.18K","-0.97%"
"04/12/2023","39,049","39,177","39,321","38,865","0.15K","0.13%"
"04/11/2023","38,997","39,240","39,489","38,527","0.56K","1.90%"
"04/06/2023","38,269","38,303","38,383","38,122","0.23K","0.97%"
"04/05/2023","37,902","38,012","38,012","37,596","0.10K","-0.36%"
"04/04/2023","38,038","37,981","38,241","37,603","0.11K","0.75%"
"04/03/2023","37,756","37,997","39,111","37,583","1.18K","1.46%"
"03/31/2023","37,213","37,380","37,380","37,030","0.06K","-0.21%"
"03/30/2023","37,293","37,761","37,853","37,478","1.19K","-0.15%"
"03/29/2023","37,348","37,343","37,683","37,311","0.39K","0.47%"
"03/28/2023","37,174","37,836","37,836","36,968","0.79K","-1.17%"
"03/27/2023","37,615","38,621","38,621","37,450","0.45K","2.21%"
"03/24/2023","36,800","39,055","39,580","36,511","0.57K","-1.34%"
"03/23/2023","37,300","39,421","39,421","36,966","0.89K","-1.58%"
"03/22/2023","37,900","38,375","38,396","38,140","0.41K","0.71%"
"03/20/2023","37,634","37,612","37,900","37,335","0.64K","-0.70%"
"03/17/2023","37,900","38,805","39,405","37,285","0.61K","2.46%"
"03/16/2023","36,991","38,221","38,221","36,495","0.46K","1.36%"
"03/15/2023","36,495","37,500","37,875","36,636","0.14K","-0.44%"
"03/14/2023","36,656","38,055","38,055","36,400","0.29K","1.06%"
"03/13/2023","36,270","36,061","36,422","35,700","0.14K","-0.84%"
"03/10/2023","36,579","39,409","39,409","37,000","1.65K","-4.81%"
"03/09/2023","38,429","38,345","38,345","38,200","0.27K","1.01%"
"03/08/2023","38,043","36,600","38,538","36,600","1.45K","-1.03%"
"03/07/2023","38,438","38,414","38,414","37,998","0.34K","1.24%"
"03/06/2023","37,966","36,600","38,186","36,600","0.21K","1.44%"
"03/03/2023","37,426","38,605","38,605","37,165","0.19K","1.45%"
"03/02/2023","36,892","38,959","38,959","36,886","1.75K","-1.22%"
"03/01/2023","37,349","38,500","38,905","37,104","0.51K","-0.93%"
"02/28/2023","37,699","38,494","38,494","37,740","0.74K","-0.61%"
"02/27/2023","37,931","38,100","38,477","36,197","3.56K","1.21%"
