"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2023","6,962","6,984","6,984","6,894","90.54K","-0.37%"
"03/13/2023","6,988","7,178","7,216","6,884","95.31K","-1.22%"
"03/10/2023","7,074","7,195","7,195","7,014","198.01K","-1.70%"
"03/09/2023","7,196","7,300","7,300","7,112","77.85K","-0.17%"
"03/08/2023","7,208","7,349","7,349","7,141","97.83K","-0.81%"
"03/07/2023","7,267","7,350","7,350","7,248","64.96K","-0.04%"
"03/06/2023","7,270","7,310","7,310","7,129","85.16K","0.43%"
"03/03/2023","7,239","7,337","7,337","7,198","193.99K","1.09%"
"03/02/2023","7,161","7,260","7,271","7,119","277.03K","-1.51%"
"03/01/2023","7,271","7,200","7,315","7,175","191.32K","1.23%"
"02/28/2023","7,183","7,103","7,222","7,100","75.28K","0.55%"
"02/27/2023","7,144","7,010","7,190","6,740","217.80K","0.79%"
"02/24/2023","7,088","7,388","7,388","7,150","333.82K","-2.96%"
"02/23/2023","7,304","7,160","7,326","7,160","139.39K","1.21%"
"02/22/2023","7,217","7,272","7,298","7,194","160.22K","-0.76%"
"02/21/2023","7,272","7,380","7,380","7,244","81.52K","-1.46%"
"02/20/2023","7,380","7,320","7,385","7,251","35.94K","0.74%"
"02/17/2023","7,326","7,390","7,399","7,327","58.08K","-0.89%"
"02/16/2023","7,392","7,400","7,450","7,345","424.56K","0.53%"
"02/15/2023","7,353","7,402","7,430","7,324","66.99K","-0.49%"
"02/14/2023","7,389","7,375","7,421","7,332","59.21K","0.46%"
"02/13/2023","7,355","7,300","7,373","7,298","86.41K","0.85%"
"02/10/2023","7,293","7,430","7,430","7,269","54.70K","-1.66%"
"02/09/2023","7,416","7,510","7,510","7,389","131.37K","0.45%"
"02/08/2023","7,383","7,510","7,510","7,340","136.50K","0.49%"
"02/07/2023","7,347","7,427","7,427","7,315","112.10K","-0.10%"
"02/06/2023","7,354","7,477","7,477","7,316","92.45K","-0.76%"
"02/03/2023","7,410","7,325","7,422","7,255","161.50K","0.45%"
"02/02/2023","7,377","7,377","7,426","7,327","75.01K","0.08%"
"02/01/2023","7,371","7,506","7,509","7,338","128.56K","0.23%"
"01/31/2023","7,354","7,416","7,416","7,251","97.03K","-0.73%"
"01/30/2023","7,408","7,500","7,746","7,355","122.88K","-1.17%"
"01/27/2023","7,496","7,500","7,544","7,450","78.04K","0.43%"
"01/26/2023","7,464","7,499","7,499","7,387","131.05K","1.06%"
"01/25/2023","7,386","7,416","7,452","7,300","142.36K","-0.40%"
"01/24/2023","7,416","7,450","7,478","7,371","255.27K","0.11%"
"01/23/2023","7,408","7,200","7,438","7,200","149.04K","1.26%"
"01/20/2023","7,316","7,200","7,400","7,200","71.88K","-0.18%"
"01/19/2023","7,329","7,377","7,377","7,269","65.25K","-0.62%"
"01/18/2023","7,375","7,298","7,392","7,297","101.06K","0.38%"
"01/17/2023","7,347","7,399","7,399","7,292","112.84K","-0.01%"
"01/16/2023","7,348","7,400","7,400","7,305","116.00K","0.12%"
"01/13/2023","7,339","7,350","7,373","7,257","62.62K","0.88%"
